Unnamed: 0,first,second,third,fourth,fifth,gender,Total Score,Average Score
0,8.11,7.68,7.11,7.43,8.18,Female,38.51,7.702
1,6.48,5.9,4.15,4.29,4.96,Male,25.78,5.156000000000001
2,8.41,8.24,7.52,8.25,7.75,Female,40.17,8.034
3,7.33,6.83,6.33,6.79,6.89,Male,34.17,6.8340000000000005
4,7.89,7.34,7.22,7.32,7.46,Male,37.23,7.446
5,7.33,6.72,6.48,6.5,7.39,Male,34.42,6.884
6,7.15,6.72,6.89,6.86,7.64,Male,35.26,7.052
7,6.74,6.38,4.93,5.64,6.75,Male,30.44,6.088
8,7.89,7.45,6.96,7.71,8.0,Female,38.010000000000005,7.602000000000001
9,7.3,6.34,6.3,6.61,6.18,Male,32.730000000000004,6.546000000000001
10,8.0,7.9,7.52,7.64,8.11,Male,39.17,7.834
11,6.78,4.28,5.81,6.04,6.39,Male,29.3,5.86
12,5.67,5.62,5.48,5.93,6.75,Male,29.45,5.89
13,6.33,6.41,6.41,6.93,7.0,Male,33.08,6.616
14,6.44,6.21,6.19,6.68,6.86,Male,32.38,6.476000000000001
15,6.3,6.17,5.59,5.89,6.36,Male,30.31,6.061999999999999
16,6.96,6.14,6.93,7.18,7.29,Male,34.5,6.9
17,6.7,6.45,5.78,6.0,6.61,Male,31.54,6.308
18,7.41,6.93,7.33,7.71,8.46,Male,37.84,7.568
19,7.04,6.31,6.44,7.21,7.32,Male,34.32,6.864
20,6.63,5.62,6.11,5.79,6.25,Male,30.4,6.08
21,8.33,8.72,7.81,8.04,8.93,Female,41.83,8.366
22,7.96,7.93,7.78,8.21,8.21,Male,40.09,8.018
23,6.89,5.55,5.93,6.79,7.54,Male,32.7,6.539999999999999
24,8.19,8.17,7.15,7.75,7.64,Male,38.9,7.779999999999999
25,7.89,6.69,7.15,8.43,8.36,Female,38.52,7.703999999999999
26,7.33,6.55,5.96,6.75,6.89,Male,33.48,6.696
27,8.22,8.17,8.37,9.04,9.0,Male,42.8,8.559999999999999
28,7.44,7.59,7.26,7.89,7.86,Male,38.04,7.608
29,5.74,6.45,6.48,7.29,7.61,Male,33.57,6.714
30,6.81,6.79,6.3,7.14,7.86,Female,34.9,6.98
31,8.89,8.31,7.3,9.25,8.5,Female,42.25,8.45
32,8.04,7.59,7.22,8.32,8.82,Male,39.99,7.997999999999999
33,8.3,8.38,7.63,7.93,8.75,Male,40.99,8.197999999999999
34,8.04,6.69,6.37,6.64,6.64,Male,34.38,6.876
35,7.44,7.97,7.78,8.64,8.71,Male,40.540000000000006,8.108
36,7.85,6.9,7.04,7.82,8.39,Female,38.0,7.6
37,8.07,7.34,7.59,7.89,8.14,Male,39.03,7.806
38,7.59,7.38,7.3,8.64,8.21,Male,39.120000000000005,7.824000000000001
39,8.19,7.66,7.48,8.68,8.89,Male,40.9,8.18
40,5.81,5.83,4.15,4.93,4.86,Male,25.58,5.116
41,6.3,6.24,5.85,6.36,7.0,Male,31.75,6.35
42,7.78,6.93,7.44,7.86,8.21,Male,38.22,7.644
43,8.22,6.66,7.07,7.29,7.61,Male,36.85,7.37
44,7.67,7.07,7.04,7.07,6.93,Male,35.78,7.156000000000001
45,8.41,7.59,7.41,7.89,8.11,Male,39.41,7.882
46,7.59,7.83,6.89,7.32,8.5,Male,38.13,7.625999999999999
47,5.3,5.62,4.56,4.36,6.18,Female,26.02,5.204
48,7.26,7.62,7.26,7.29,7.61,Male,37.04,7.407999999999999
49,7.93,7.83,7.81,8.32,8.68,Male,40.57,8.114
50,8.11,8.55,7.3,8.11,9.14,Male,41.21,8.242
51,7.26,7.9,7.26,7.71,8.39,Male,38.52,7.704000000000001
52,6.59,7.72,6.26,7.61,7.29,Male,35.47,7.093999999999999
53,7.89,7.97,7.33,7.46,8.5,Male,39.15,7.83
54,7.67,8.0,7.7,8.07,8.68,Female,40.120000000000005,8.024000000000001
55,7.85,8.41,7.67,8.71,9.39,Male,42.03,8.406
56,7.04,6.38,6.78,7.54,7.39,Male,35.129999999999995,7.025999999999999
57,7.26,7.21,6.93,6.86,8.04,Male,36.3,7.26
59,8.19,8.48,8.0,8.46,8.89,Male,42.02,8.404
60,6.52,6.76,6.52,7.21,7.57,Male,34.58,6.916
61,7.15,7.24,6.7,7.86,8.29,Female,37.24,7.447999999999999
64,6.63,5.48,6.22,6.57,7.0,Male,31.9,6.38
65,7.07,6.79,6.96,6.89,8.64,Male,36.35,7.27
66,7.33,7.76,7.04,7.18,8.11,Male,37.42,7.484
67,7.59,7.28,6.7,7.68,8.18,Female,37.43,7.486
68,7.0,7.07,7.04,7.43,8.36,Female,36.9,7.38
69,7.33,7.55,7.63,6.14,8.39,Male,37.04,7.407999999999999
70,6.89,8.1,7.26,7.68,8.57,Male,38.5,7.7
71,6.56,6.52,6.33,7.0,7.29,Male,33.7,6.739999999999999
72,6.74,6.79,7.15,7.14,7.68,Male,35.5,7.1
74,6.22,7.0,6.0,6.39,6.43,Male,32.04,6.408
75,7.33,8.03,7.93,8.11,8.04,Male,39.44,7.888
76,7.63,6.59,6.52,4.93,6.43,Male,32.099999999999994,6.419999999999999
77,6.22,6.38,6.41,5.93,6.18,Male,31.12,6.223999999999999
78,7.11,7.07,6.07,5.86,6.86,Male,32.97,6.593999999999999
79,5.11,5.62,5.48,5.89,5.79,Female,27.89,5.578
80,6.26,6.55,6.63,6.71,7.54,Male,33.69,6.738
81,6.04,5.86,5.15,5.54,6.04,Male,28.63,5.726
82,6.78,6.79,6.96,7.79,8.36,Male,36.68,7.336
83,5.11,6.03,6.33,6.5,6.75,Male,30.72,6.144
84,6.22,6.38,6.33,6.29,7.96,Male,33.18,6.636
85,7.0,6.17,6.33,6.5,6.25,Female,32.25,6.45
86,6.3,6.21,6.52,5.93,7.5,Male,32.46,6.492
87,6.74,6.62,6.48,6.86,8.25,Male,34.95,6.99
88,6.67,6.48,5.89,6.36,5.61,Male,31.01,6.202
89,7.37,7.93,7.07,7.64,8.61,Male,38.620000000000005,7.724000000000001
90,6.16,6.66,6.63,6.71,6.96,Male,33.12,6.624
92,6.19,6.21,5.7,5.46,6.93,Male,30.49,6.098000000000001
93,6.22,6.28,6.11,6.11,6.54,Female,31.26,6.252
94,5.85,5.66,4.59,5.86,6.0,Male,27.96,5.5920000000000005
95,7.37,7.24,6.48,7.18,7.82,Male,36.09,7.218000000000001
96,8.63,8.38,8.17,8.73,8.73,Male,42.64,8.528
97,6.96,6.69,6.59,6.36,6.79,Male,33.39,6.678
98,5.78,5.79,5.22,5.36,6.61,Male,28.76,5.752
99,5.93,5.86,4.7,5.5,6.21,Male,28.2,5.64
100,6.59,5.48,4.22,4.75,4.96,Male,26.0,5.2
101,6.85,7.41,7.41,7.86,8.14,Male,37.67,7.534000000000001
102,6.37,6.59,6.07,5.82,5.86,Female,30.71,6.142
103,7.19,6.9,6.52,8.36,7.89,Female,36.86,7.372
104,6.37,6.9,4.33,6.96,6.75,Male,31.31,6.2620000000000005
105,7.67,8.21,6.19,8.29,8.54,Male,38.9,7.779999999999999
106,6.48,6.55,5.22,5.61,6.18,Male,30.04,6.008
107,8.7,7.83,7.56,8.11,8.07,Male,40.27,8.054
108,6.81,7.07,5.7,6.29,8.07,Male,33.94,6.787999999999999
109,6.37,5.59,6.33,7.07,7.81,Female,33.17,6.634
110,6.11,6.55,5.56,6.86,7.0,Male,32.08,6.416
111,7.89,8.72,8.19,8.54,9.11,Male,42.45,8.489999999999998
112,7.89,7.97,6.81,8.54,8.0,Male,39.21,7.841999999999999
113,7.37,5.86,7.0,7.82,8.21,Female,36.260000000000005,7.252000000000001
114,7.48,7.69,7.11,7.93,8.21,Female,38.42,7.684
115,9.15,8.86,8.34,9.04,9.19,Male,44.58,8.916
116,7.19,7.45,6.63,7.04,7.79,Male,36.1,7.220000000000001
118,6.44,6.14,6.19,6.82,7.43,Male,33.02,6.603999999999999
119,6.56,6.14,6.33,6.75,7.14,Male,32.92,6.5840000000000005
120,8.0,7.9,7.33,7.47,8.07,Male,38.77,7.754
121,7.15,6.34,6.56,6.68,6.54,Male,33.27,6.654000000000001
122,7.3,7.07,6.67,6.0,6.11,Male,33.15,6.63
123,8.44,7.28,7.96,8.0,8.29,Female,39.97,7.994
124,6.0,5.93,3.96,5.43,6.25,Male,27.57,5.514
125,5.78,6.28,4.3,6.43,6.75,Male,29.54,5.908
126,6.37,5.9,5.81,6.04,6.64,Male,30.76,6.151999999999999
127,6.19,6.62,6.3,6.54,7.43,Male,33.08,6.616
128,6.74,6.72,7.04,7.93,8.32,Male,36.75,7.35
129,5.52,5.72,6.07,7.11,7.79,Male,32.21,6.442
130,6.3,6.48,5.63,6.21,6.39,Male,31.01,6.202
131,6.89,6.69,5.67,6.07,7.39,Male,32.71,6.542
132,7.0,7.41,6.37,6.57,7.79,Male,35.14,7.0280000000000005
133,6.07,6.07,5.89,6.54,7.81,Male,32.38,6.476000000000001
134,7.11,7.34,6.85,7.96,8.14,Male,37.4,7.479999999999999
135,9.15,9.21,9.59,9.31,9.46,Female,46.72,9.344
136,7.78,6.86,7.26,7.82,8.36,Male,38.08,7.616
137,7.59,7.76,7.0,8.32,8.21,Female,38.88,7.776000000000001
138,7.11,7.41,7.0,7.32,8.32,Male,37.16,7.431999999999999
139,6.26,6.0,6.07,5.36,6.21,Male,29.9,5.98
140,8.3,7.97,8.33,8.29,8.61,Male,41.5,8.3
142,6.96,6.24,6.85,7.21,7.71,Male,34.97,6.994
143,8.22,8.76,7.74,8.46,8.38,Female,41.56,8.312000000000001
144,7.15,6.79,6.75,6.78,6.62,Male,34.09,6.8180000000000005
145,7.07,7.66,7.22,7.86,7.31,Female,37.12,7.423999999999999
146,7.52,7.82,7.67,8.21,8.38,Male,39.6,7.92
147,6.33,6.76,5.7,5.18,5.31,Male,29.28,5.856
148,7.33,6.62,6.26,6.33,6.81,Male,33.35,6.67
149,7.89,7.97,7.59,8.25,9.35,Male,41.05,8.209999999999999
150,6.44,6.43,6.52,7.04,6.62,Male,33.05,6.609999999999999
151,6.96,6.41,6.33,5.57,5.35,Male,30.620000000000005,6.1240000000000006
152,7.0,6.34,6.07,6.14,7.0,Female,32.55,6.51
153,6.26,5.55,6.15,5.04,5.08,Male,28.08,5.616
154,7.22,6.76,7.48,7.93,7.77,Male,37.16,7.431999999999999
155,6.41,6.48,6.41,6.68,7.08,Male,33.06,6.612
156,5.96,6.1,6.07,5.36,5.12,Male,28.61,5.722
157,7.19,7.97,7.3,8.04,8.15,Male,38.65,7.729999999999999
158,7.14,7.79,6.93,7.64,8.65,Male,38.15,7.63
159,7.19,7.1,6.7,7.36,7.38,Male,35.73,7.145999999999999
160,6.85,6.41,6.19,6.68,6.96,Male,33.09,6.617999999999999
161,8.0,8.07,7.96,8.46,8.62,Male,41.11,8.222
162,7.59,7.48,7.41,7.18,7.92,Male,37.58,7.516
163,6.7,7.34,7.11,7.32,7.35,Male,35.82,7.164
164,7.59,7.31,7.11,7.68,7.65,Male,37.34,7.467999999999999
165,7.07,6.38,5.3,5.43,4.77,Male,28.95,5.79
166,6.44,6.48,6.78,6.29,5.81,Male,31.8,6.36
167,7.19,7.0,6.74,7.04,7.04,Male,35.01,7.002
169,6.63,7.03,7.0,6.75,7.38,Male,34.79,6.958
170,7.33,7.34,7.22,7.25,7.08,Male,36.22,7.244
