,0,1,2,3,4,5,6
0,6.44,7.21,7.32,0.0,0.0,0.0,1.0
1,7.41,7.89,8.11,0.0,0.0,0.0,1.0
2,8.33,8.29,8.61,0.0,0.0,0.0,1.0
3,6.3,7.14,7.86,0.0,1.0,0.0,0.0
4,6.7,7.68,8.18,1.0,0.0,0.0,0.0
5,6.93,7.18,7.29,0.0,0.0,0.0,1.0
6,6.33,6.75,7.14,0.0,0.0,0.0,1.0
7,6.59,7.11,7.38,0.0,0.0,1.0,0.0
8,6.33,7.07,7.81,0.0,1.0,0.0,0.0
9,6.33,7.18,7.54,0.0,0.0,0.0,1.0
10,7.15,7.75,7.64,0.0,0.0,0.0,1.0
11,6.52,7.04,6.62,0.0,0.0,1.0,0.0
12,5.85,6.36,7.0,0.0,0.0,0.0,1.0
13,6.19,6.82,7.43,0.0,0.0,0.0,1.0
14,5.59,5.89,6.36,0.0,0.0,0.0,1.0
15,8.19,8.54,9.11,0.0,0.0,0.0,1.0
16,7.0,7.82,8.21,0.0,1.0,0.0,0.0
17,6.96,7.79,8.36,0.0,0.0,1.0,0.0
18,6.3,6.61,6.18,0.0,0.0,0.0,1.0
19,7.11,7.93,8.21,0.0,1.0,0.0,0.0
20,7.33,7.71,8.46,0.0,0.0,0.0,1.0
21,7.04,7.18,8.11,0.0,0.0,1.0,0.0
22,6.52,7.21,7.57,0.0,0.0,1.0,0.0
23,7.0,6.75,7.38,0.0,0.0,1.0,0.0
24,7.41,7.0,7.5,0.0,0.0,1.0,0.0
25,7.11,7.68,7.65,0.0,0.0,1.0,0.0
26,6.33,6.39,7.54,0.0,0.0,0.0,1.0
