Unnamed: 0,first,second,third,fourth,fifth,gender,Total Score,Average Score
86,6.3,6.21,6.52,5.93,7.5,Male,32.46,6.492
103,7.19,6.9,6.52,8.36,7.89,Female,36.86,7.372
80,6.26,6.55,6.63,6.71,7.54,Male,33.69,6.738
55,7.85,8.41,7.67,8.71,9.39,Male,42.03,8.406
42,7.78,6.93,7.44,7.86,8.21,Male,38.22,7.644
56,7.04,6.38,6.78,7.54,7.39,Male,35.129999999999995,7.025999999999999
160,6.85,6.41,6.19,6.68,6.96,Male,33.09,6.617999999999999
116,7.19,7.45,6.63,7.04,7.79,Male,36.1,7.220000000000001
72,6.74,6.79,7.15,7.14,7.68,Male,35.5,7.1
144,7.15,6.79,6.75,6.78,6.62,Male,34.09,6.8180000000000005
2,8.41,8.24,7.52,8.25,7.75,Female,40.17,8.034
98,5.78,5.79,5.22,5.36,6.61,Male,28.76,5.752
142,6.96,6.24,6.85,7.21,7.71,Male,34.97,6.994
157,7.19,7.97,7.3,8.04,8.15,Male,38.65,7.729999999999999
95,7.37,7.24,6.48,7.18,7.82,Male,36.09,7.218000000000001
120,8.0,7.9,7.33,7.47,8.07,Male,38.77,7.754
26,7.33,6.55,5.96,6.75,6.89,Male,33.48,6.696
152,7.0,6.34,6.07,6.14,7.0,Female,32.55,6.51
143,8.22,8.76,7.74,8.46,8.38,Female,41.56,8.312000000000001
102,6.37,6.59,6.07,5.82,5.86,Female,30.71,6.142
68,7.0,7.07,7.04,7.43,8.36,Female,36.9,7.38
36,7.85,6.9,7.04,7.82,8.39,Female,38.0,7.6
132,7.0,7.41,6.37,6.57,7.79,Male,35.14,7.0280000000000005
22,7.96,7.93,7.78,8.21,8.21,Male,40.09,8.018
106,6.48,6.55,5.22,5.61,6.18,Male,30.04,6.008
167,7.19,7.0,6.74,7.04,7.04,Male,35.01,7.002
101,6.85,7.41,7.41,7.86,8.14,Male,37.67,7.534000000000001
11,6.78,4.28,5.81,6.04,6.39,Male,29.3,5.86
70,6.89,8.1,7.26,7.68,8.57,Male,38.5,7.7
138,7.11,7.41,7.0,7.32,8.32,Male,37.16,7.431999999999999
6,7.15,6.72,6.89,6.86,7.64,Male,35.26,7.052
27,8.22,8.17,8.37,9.04,9.0,Male,42.8,8.559999999999999
82,6.78,6.79,6.96,7.79,8.36,Male,36.68,7.336
153,6.26,5.55,6.15,5.04,5.08,Male,28.08,5.616
38,7.59,7.38,7.3,8.64,8.21,Male,39.120000000000005,7.824000000000001
41,6.3,6.24,5.85,6.36,7.0,Male,31.75,6.35
4,7.89,7.34,7.22,7.32,7.46,Male,37.23,7.446
149,7.89,7.97,7.59,8.25,9.35,Male,41.05,8.209999999999999
32,8.04,7.59,7.22,8.32,8.82,Male,39.99,7.997999999999999
69,7.33,7.55,7.63,6.14,8.39,Male,37.04,7.407999999999999
133,6.07,6.07,5.89,6.54,7.81,Male,32.38,6.476000000000001
100,6.59,5.48,4.22,4.75,4.96,Male,26.0,5.2
10,8.0,7.9,7.52,7.64,8.11,Male,39.17,7.834
105,7.67,8.21,6.19,8.29,8.54,Male,38.9,7.779999999999999
121,7.15,6.34,6.56,6.68,6.54,Male,33.27,6.654000000000001
0,8.11,7.68,7.11,7.43,8.18,Female,38.51,7.702
131,6.89,6.69,5.67,6.07,7.39,Male,32.71,6.542
123,8.44,7.28,7.96,8.0,8.29,Female,39.97,7.994
67,7.59,7.28,6.7,7.68,8.18,Female,37.43,7.486
44,7.67,7.07,7.04,7.07,6.93,Male,35.78,7.156000000000001
126,6.37,5.9,5.81,6.04,6.64,Male,30.76,6.151999999999999
28,7.44,7.59,7.26,7.89,7.86,Male,38.04,7.608
40,5.81,5.83,4.15,4.93,4.86,Male,25.58,5.116
124,6.0,5.93,3.96,5.43,6.25,Male,27.57,5.514
25,7.89,6.69,7.15,8.43,8.36,Female,38.52,7.703999999999999
23,6.89,5.55,5.93,6.79,7.54,Male,32.7,6.539999999999999
129,5.52,5.72,6.07,7.11,7.79,Male,32.21,6.442
85,7.0,6.17,6.33,6.5,6.25,Female,32.25,6.45
83,5.11,6.03,6.33,6.5,6.75,Male,30.72,6.144
