iter	RMSE
0	0.8367418993
1	0.8141271384
2	0.7933520539
3	0.7755182294
4	0.757649029
5	0.7405002415
6	0.7233794139
7	0.7067997311
8	0.691105503
9	0.6775816862
10	0.6625985006
11	0.6504013562
12	0.6372744254
13	0.6242926414
14	0.6126959615
15	0.6019231411
16	0.5910257004
17	0.5814455734
18	0.5713534837
19	0.5631502382
20	0.5547292673
21	0.5465760154
22	0.5395976376
23	0.5335355003
24	0.52789147
25	0.5204850137
26	0.5141671991
27	0.5097181622
28	0.5043022001
29	0.4984092782
30	0.4943099286
31	0.4893938572
32	0.4843143634
33	0.4785373899
34	0.473797728
35	0.4700561157
36	0.4669293325
37	0.4639507702
38	0.460921175
39	0.4576878656
40	0.4552815777
41	0.4524889543
42	0.449384037
43	0.4468520989
44	0.4445251058
45	0.4423854492
46	0.4399047871
47	0.4376124467
48	0.43493142
49	0.4327161565
50	0.4309064211
51	0.4288348539
52	0.4271979183
53	0.4255842165
54	0.4228167359
55	0.4203368507
56	0.4188690358
57	0.4171858532
58	0.4163907776
59	0.4146261079
60	0.4134047385
61	0.4121503271
62	0.4104663521
63	0.4094592242
64	0.4086818211
65	0.4075020945
66	0.4066804382
67	0.4049670319
68	0.4039945293
69	0.4031826313
70	0.4011990412
71	0.4006528417
72	0.3996168717
73	0.3983060333
74	0.3969163602
75	0.3957764717
76	0.3945250242
77	0.3941810356
78	0.3933180622
79	0.3925175924
80	0.3920071919
81	0.3911480281
82	0.3903826871
83	0.3894601681
84	0.3877110482
85	0.3875639146
86	0.3862293421
87	0.3846588266
88	0.3837808288
89	0.3825632811
90	0.3815736966
91	0.3809626364
92	0.3793395459
93	0.3787223963
94	0.3772905967
95	0.3757095598
96	0.3746036485
97	0.3741362202
98	0.3730272375
99	0.3719907734
