iter	Passed	Remaining
0	1	157
1	3	170
2	4	159
3	6	145
4	7	140
5	8	137
6	10	137
7	12	138
8	13	136
9	14	134
10	16	135
11	18	133
12	19	132
13	21	130
14	22	128
15	23	124
16	24	119
17	25	115
18	26	111
19	26	107
20	28	107
21	29	104
22	30	101
23	30	98
24	31	95
25	32	93
26	33	90
27	34	87
28	35	85
29	35	83
30	36	81
31	37	79
32	38	78
33	39	76
34	40	74
35	40	72
36	41	70
37	42	69
38	43	67
39	44	66
40	44	64
41	45	63
42	46	61
43	47	60
44	48	58
45	49	57
46	49	56
47	50	54
48	51	53
49	52	52
50	53	51
51	53	49
52	54	48
53	55	47
54	56	46
55	57	45
56	57	43
57	58	42
58	59	41
59	60	40
60	60	38
61	61	37
62	62	36
63	63	35
64	64	34
65	65	33
66	65	32
67	66	31
68	67	30
69	68	29
70	69	28
71	70	27
72	71	26
73	71	25
74	72	24
75	73	23
76	74	22
77	74	21
78	75	20
79	76	19
80	77	18
81	78	17
82	78	16
83	79	15
84	80	14
85	80	13
86	81	12
87	82	11
88	83	10
89	84	9
90	85	8
91	85	7
92	86	6
93	87	5
94	88	4
95	89	3
96	90	2
97	90	1
98	91	0
99	92	0
