iter	RMSE
0	0.7781357906
1	0.7661105315
2	0.7541139098
3	0.7412082449
4	0.7287905964
5	0.7156982574
6	0.703880138
7	0.6925579676
8	0.6813578405
9	0.6706729978
10	0.6605367047
11	0.6506062356
12	0.6416887712
13	0.6325292952
14	0.6235762739
15	0.6143279277
16	0.6054377566
17	0.5974802635
18	0.5893001314
19	0.582458882
20	0.5750722843
21	0.5686508143
22	0.5626083102
23	0.5556686505
24	0.5494738541
25	0.542582714
26	0.537000903
27	0.5303115016
28	0.5247389523
29	0.518556381
30	0.5133574169
31	0.5080218188
32	0.503027269
33	0.4980474612
34	0.4934574152
35	0.488943438
36	0.4845940853
37	0.4807621612
38	0.4768044423
39	0.4727436651
40	0.4689952561
41	0.4655466784
42	0.4616793662
43	0.458234417
44	0.4557024017
45	0.4523162354
46	0.4483450535
47	0.4451571319
48	0.4422355611
49	0.4392123206
50	0.4367222349
51	0.4339165804
52	0.4304116199
53	0.4276908601
54	0.4247284272
55	0.4223769107
56	0.419616651
57	0.4171720011
58	0.4150600883
59	0.4134235887
60	0.4117984967
61	0.409200196
62	0.4069650513
63	0.4047342881
64	0.4027417532
65	0.4003309795
66	0.3980597587
67	0.3962628984
68	0.3948169871
69	0.3933591763
70	0.3915986531
71	0.3896352235
72	0.3884317181
73	0.3872207734
74	0.385858715
75	0.3842740278
76	0.3829239772
77	0.3815675798
78	0.3803357879
79	0.3790041411
80	0.3780414983
81	0.376626642
82	0.3753797003
83	0.3744195827
84	0.3736398923
85	0.3724369865
86	0.37158293
87	0.3706223816
88	0.3696783724
89	0.3684686212
90	0.3675282382
91	0.3663813204
92	0.3655946426
93	0.3650025711
94	0.3642945919
95	0.3634470775
96	0.3625719429
97	0.3617772044
98	0.3611428406
99	0.3600817261
100	0.3592964233
101	0.3586431261
102	0.357770794
103	0.3562786488
104	0.3557660685
105	0.3548897805
106	0.3542434532
107	0.35353283
108	0.3526497898
109	0.3518325787
110	0.3509465595
111	0.3497320669
112	0.3489027841
113	0.3481592306
114	0.3472177214
115	0.3466818615
116	0.3462052918
117	0.3456563145
118	0.3446985159
119	0.3441183812
120	0.3431675367
121	0.342728894
122	0.3419002508
123	0.3412257675
124	0.3405296441
125	0.3400115945
126	0.3395435008
127	0.3390037126
128	0.3382926284
129	0.3377469695
130	0.336822778
131	0.3358263904
132	0.3346877742
133	0.3340723235
134	0.3335465381
135	0.3329163935
136	0.3324448525
137	0.3318044701
138	0.3310905125
139	0.3302791285
140	0.3296472653
141	0.3292185273
142	0.3285025271
143	0.3277606752
144	0.3272692558
145	0.3268778357
146	0.3263739335
147	0.3255461942
148	0.3247391942
149	0.323855689
150	0.3230811543
151	0.3223480401
152	0.3214107935
153	0.3209245887
154	0.3202005384
155	0.319273131
156	0.3185243097
157	0.3179989985
158	0.3171693465
159	0.3165722014
160	0.3161194006
161	0.3154155248
162	0.314646499
163	0.3142354018
164	0.3136007525
165	0.3130196674
166	0.3125280322
167	0.3119324828
168	0.3111192645
169	0.3107353137
170	0.3103071763
171	0.3098655746
172	0.3090489183
173	0.3081927708
174	0.3076561187
175	0.3071006094
