iter	Passed	Remaining
0	1	1504
1	2	1307
2	3	1270
3	4	1234
4	6	1364
5	8	1391
6	9	1409
7	11	1378
8	12	1356
9	13	1320
10	14	1302
11	15	1287
12	16	1272
13	17	1253
14	18	1240
15	20	1237
16	21	1267
17	23	1282
18	24	1279
19	25	1273
20	27	1261
21	28	1253
22	29	1244
23	30	1237
24	31	1228
25	32	1224
26	33	1219
27	35	1241
28	37	1251
29	38	1256
30	40	1265
31	41	1259
32	42	1254
33	43	1248
34	45	1251
35	46	1246
36	47	1241
37	49	1242
38	50	1251
39	52	1252
40	53	1252
41	54	1248
42	55	1243
43	56	1238
44	58	1234
45	59	1228
46	60	1224
47	61	1221
48	64	1245
49	66	1255
50	67	1261
51	69	1258
52	70	1254
53	71	1249
54	72	1246
55	73	1240
56	74	1234
57	75	1229
58	76	1226
59	79	1237
60	80	1238
61	81	1240
62	83	1235
63	84	1230
64	85	1227
65	86	1224
66	87	1221
67	89	1224
68	91	1229
69	93	1239
70	94	1241
71	96	1240
72	97	1237
73	98	1233
74	100	1233
75	101	1230
76	102	1226
77	103	1224
78	104	1221
79	106	1226
80	108	1229
81	109	1231
82	111	1228
83	112	1229
84	114	1229
85	115	1226
86	116	1223
87	117	1221
88	118	1217
89	120	1214
90	122	1220
91	123	1222
92	125	1221
93	126	1220
94	127	1216
95	128	1213
96	130	1210
97	131	1207
98	132	1204
99	133	1201
100	134	1198
101	136	1202
102	137	1201
103	139	1202
104	140	1200
105	141	1197
106	143	1194
107	144	1192
108	145	1189
109	146	1186
110	147	1183
111	148	1180
112	150	1182
113	152	1183
114	153	1182
115	154	1177
116	155	1172
117	156	1169
118	157	1166
119	158	1163
120	159	1160
121	160	1158
122	162	1155
123	163	1152
124	164	1152
125	166	1153
126	167	1152
127	169	1151
128	170	1149
129	171	1147
130	172	1145
131	173	1142
132	174	1139
133	175	1136
134	177	1134
135	178	1131
136	179	1133
137	181	1133
138	183	1138
139	185	1136
140	186	1134
141	187	1131
142	188	1129
143	189	1126
144	190	1124
145	191	1122
146	192	1119
147	194	1121
148	196	1121
149	197	1121
150	199	1119
151	200	1117
152	201	1115
153	202	1112
154	203	1110
155	204	1108
156	205	1105
157	207	1103
158	208	1103
159	210	1103
160	211	1103
161	212	1101
162	214	1099
163	215	1097
164	216	1094
165	217	1092
166	218	1090
167	219	1087
168	220	1085
169	221	1083
170	224	1087
171	225	1087
172	227	1085
173	228	1083
174	229	1081
175	230	1079
176	231	1077
177	232	1075
178	233	1072
179	235	1070
180	236	1068
181	237	1068
182	239	1070
183	241	1069
184	242	1067
185	243	1065
186	244	1063
187	245	1061
188	246	1059
189	247	1056
190	249	1054
191	250	1052
192	251	1050
193	252	1050
194	255	1054
195	258	1058
196	259	1057
197	260	1055
198	261	1053
199	262	1051
200	263	1049
201	265	1047
202	266	1046
203	268	1048
204	270	1048
205	271	1047
206	272	1045
207	274	1043
208	275	1041
209	276	1039
210	277	1037
211	278	1035
212	279	1033
213	280	1031
214	282	1032
215	284	1032
216	285	1031
217	287	1030
218	288	1028
219	289	1026
220	290	1024
221	291	1022
222	292	1020
223	293	1018
224	295	1016
225	296	1015
226	298	1015
227	299	1014
228	300	1012
229	302	1011
230	303	1009
231	304	1007
232	305	1005
233	306	1003
234	307	1001
235	308	999
236	309	997
237	311	998
238	313	998
239	314	997
240	316	995
241	317	994
242	318	992
243	319	990
244	320	988
245	322	987
246	323	985
247	324	983
248	325	982
249	327	982
250	328	981
251	330	980
252	331	978
253	332	976
254	333	975
255	335	973
256	336	973
257	338	973
258	340	974
259	342	973
260	343	973
261	345	971
262	346	970
263	347	968
264	348	966
265	349	964
266	350	963
267	351	961
268	353	959
269	354	958
270	356	957
271	357	957
272	358	955
273	360	954
274	361	952
275	362	950
276	363	948
277	364	946
278	365	945
279	366	943
280	367	941
281	369	941
282	371	940
283	372	939
284	373	938
285	375	936
286	376	934
287	377	933
288	378	931
289	379	929
290	380	927
291	381	926
292	383	925
293	385	924
294	386	923
295	387	922
296	389	921
297	390	919
298	391	917
299	392	916
300	393	914
301	394	912
302	395	910
303	397	909
304	399	909
305	400	908
306	402	907
307	403	905
308	404	904
309	405	902
310	406	900
311	407	899
312	408	897
313	410	895
314	411	894
315	412	893
316	414	892
317	417	895
318	419	894
319	420	893
320	421	891
321	422	889
322	423	887
323	424	886
324	425	884
325	427	884
326	429	883
327	430	882
328	432	882
329	433	880
330	434	878
331	436	877
332	437	875
333	438	873
334	439	872
335	440	870
336	442	870
337	444	869
338	445	869
339	446	867
340	448	865
341	449	864
342	450	862
343	451	860
344	452	859
345	453	857
346	454	855
347	455	854
348	457	853
349	459	853
350	460	851
351	461	850
352	463	848
353	464	847
354	465	845
355	466	843
356	467	842
357	468	840
358	470	839
359	471	839
360	473	838
361	475	837
362	476	835
363	477	834
364	478	832
365	479	831
366	480	829
367	481	827
368	483	826
369	484	824
370	486	824
371	487	823
372	489	822
373	490	821
374	491	819
375	492	817
376	493	816
377	495	814
378	496	813
379	497	811
380	498	809
381	499	808
382	501	808
383	503	807
384	504	806
385	505	804
386	506	802
387	508	801
388	509	799
389	510	798
390	511	796
391	512	794
392	513	793
393	515	792
394	517	792
395	518	791
396	520	790
397	521	788
398	522	787
399	523	785
400	524	783
401	525	782
402	527	780
403	528	779
404	530	778
405	531	777
406	532	776
407	534	774
408	535	773
409	536	771
410	537	770
411	538	768
412	539	766
413	540	765
414	541	763
415	543	762
416	545	761
417	546	760
418	548	759
419	549	758
420	550	756
421	551	755
422	552	753
423	553	752
424	554	750
425	555	748
426	556	747
427	558	745
428	560	745
429	561	744
430	563	743
431	564	742
432	565	740
433	566	738
434	567	737
435	568	735
436	569	734
437	571	732
438	572	731
439	573	730
440	575	729
441	576	728
442	578	726
443	579	725
444	580	724
445	582	723
446	583	722
447	585	720
448	586	719
449	587	717
450	589	717
451	590	716
452	592	715
453	593	713
454	595	712
455	596	711
456	597	709
457	598	708
458	599	707
459	601	705
460	602	704
461	604	703
462	605	702
463	607	701
464	608	699
465	609	698
466	610	696
467	611	695
468	612	693
469	613	692
470	614	690
471	616	689
472	617	687
473	618	686
474	619	685
475	621	683
476	622	682
477	623	680
478	624	679
479	625	677
480	626	676
481	627	674
482	628	673
483	630	671
484	631	670
485	632	669
486	634	668
487	635	666
488	636	665
489	637	663
490	638	662
491	639	660
492	640	659
493	642	657
494	643	656
495	644	654
496	645	653
497	646	651
498	648	650
499	649	649
500	650	647
501	651	646
502	652	644
503	653	643
504	654	642
505	656	640
506	657	639
507	658	637
508	659	636
509	660	634
510	661	633
511	663	632
512	664	630
513	665	629
514	666	628
515	668	626
516	669	625
517	670	623
518	671	622
519	672	620
520	673	619
521	674	618
522	676	616
523	677	615
524	678	614
525	680	612
526	681	611
527	682	609
528	683	608
529	685	607
530	686	606
531	687	604
532	688	603
533	689	602
534	691	600
535	692	599
536	693	598
537	695	596
538	696	595
539	697	594
540	698	592
541	699	591
542	700	589
543	701	588
544	703	586
545	704	585
546	705	584
547	706	582
548	707	581
549	709	580
550	710	578
551	711	577
552	712	575
553	713	574
554	714	573
555	715	571
556	716	570
557	718	568
558	719	567
559	720	565
560	721	564
561	723	563
562	724	562
563	725	560
564	726	559
565	727	557
566	728	556
567	729	555
568	731	553
569	732	552
570	733	550
571	734	549
572	735	548
573	736	546
574	738	545
575	739	544
576	740	542
577	741	541
578	742	539
579	743	538
580	744	537
581	745	535
582	747	534
583	749	533
584	750	532
585	752	531
586	753	529
587	754	528
588	755	527
589	756	525
590	757	524
591	758	522
592	759	521
593	761	520
594	762	518
595	763	517
596	764	515
597	765	514
598	767	513
599	768	512
600	769	511
601	770	509
602	771	508
603	773	506
604	774	505
605	775	504
606	776	502
607	777	501
608	778	499
609	779	498
610	781	497
611	782	496
612	783	494
613	785	493
614	786	492
615	787	490
616	788	489
617	789	488
618	790	486
619	791	485
620	792	483
621	793	482
622	795	481
623	796	480
624	798	478
625	799	477
626	800	476
627	801	474
628	802	473
629	803	471
630	804	470
631	805	469
632	806	467
633	807	466
634	809	465
635	810	464
636	812	462
637	813	461
638	814	460
639	815	458
640	816	457
641	818	456
642	819	454
643	820	453
644	821	452
645	822	450
646	823	449
647	824	448
648	826	446
649	827	445
650	828	444
651	829	442
652	830	441
653	832	440
654	833	438
655	834	437
656	835	436
657	836	434
658	837	433
659	838	432
660	840	431
661	842	429
662	843	428
663	844	427
664	845	426
665	846	424
666	848	423
