,first,second,third,fourth,fifth,Total Score,Average Score,gender
0,8.11,7.68,7.11,7.43,8.18,38.51,7.702,0
1,6.48,5.9,4.15,4.29,4.96,25.78,5.156000000000001,1
2,8.41,8.24,7.52,8.25,7.75,40.17,8.034,0
3,7.33,6.83,6.33,6.79,6.89,34.17,6.8340000000000005,1
4,7.89,7.34,7.22,7.32,7.46,37.23,7.446,1
5,7.33,6.72,6.48,6.5,7.39,34.42,6.884,1
6,7.15,6.72,6.89,6.86,7.64,35.26,7.052,1
7,6.74,6.38,4.93,5.64,6.75,30.44,6.088,1
8,7.89,7.45,6.96,7.71,8.0,38.010000000000005,7.602000000000001,0
9,7.3,6.34,6.3,6.61,6.18,32.730000000000004,6.546000000000001,1
10,8.0,7.9,7.52,7.64,8.11,39.17,7.8340000000000005,1
11,6.78,4.28,5.81,6.04,6.39,29.3,5.86,1
12,5.67,5.62,5.48,5.93,6.75,29.45,5.89,1
13,6.33,6.41,6.41,6.93,7.0,33.08,6.616,1
14,6.44,6.21,6.19,6.68,6.86,32.38,6.476000000000001,1
15,6.3,6.17,5.59,5.89,6.36,30.31,6.061999999999999,1
16,6.96,6.14,6.93,7.18,7.29,34.5,6.9,1
17,6.7,6.45,5.78,6.0,6.61,31.54,6.308,1
18,7.41,6.93,7.33,7.71,8.46,37.84,7.5680000000000005,1
19,7.04,6.31,6.44,7.21,7.32,34.32,6.864,1
20,6.63,5.62,6.11,5.79,6.25,30.4,6.08,1
21,8.33,8.72,7.81,8.04,8.93,41.83,8.366,0
22,7.96,7.93,7.78,8.21,8.21,40.09,8.018,1
23,6.89,5.55,5.93,6.79,7.54,32.699999999999996,6.539999999999999,1
24,8.19,8.17,7.15,7.75,7.64,38.9,7.779999999999999,1
25,7.89,6.69,7.15,8.43,8.36,38.519999999999996,7.703999999999999,0
26,7.33,6.55,5.96,6.75,6.89,33.48,6.696,1
27,8.22,8.17,8.37,9.04,9.0,42.8,8.559999999999999,1
28,7.44,7.59,7.26,7.89,7.86,38.04,7.608,1
29,5.74,6.45,6.48,7.29,7.61,33.57,6.714,1
30,6.81,6.79,6.3,7.14,7.86,34.9,6.9799999999999995,0
31,8.89,8.31,7.3,9.25,8.5,42.25,8.45,0
32,8.04,7.59,7.22,8.32,8.82,39.989999999999995,7.997999999999999,1
33,8.3,8.38,7.63,7.93,8.75,40.989999999999995,8.197999999999999,1
34,8.04,6.69,6.37,6.64,6.64,34.38,6.876,1
35,7.44,7.97,7.78,8.64,8.71,40.540000000000006,8.108,1
36,7.85,6.9,7.04,7.82,8.39,38.0,7.6,0
37,8.07,7.34,7.59,7.89,8.14,39.03,7.806,1
38,7.59,7.38,7.3,8.64,8.21,39.120000000000005,7.824000000000001,1
39,8.19,7.66,7.48,8.68,8.89,40.9,8.18,1
40,5.81,5.83,4.15,4.93,4.86,25.58,5.116,1
41,6.3,6.24,5.85,6.36,7.0,31.75,6.35,1
42,7.78,6.93,7.44,7.86,8.21,38.22,7.644,1
43,8.22,6.66,7.07,7.29,7.61,36.85,7.37,1
44,7.67,7.07,7.04,7.07,6.93,35.78,7.156000000000001,1
45,8.41,7.59,7.41,7.89,8.11,39.41,7.882,1
46,7.59,7.83,6.89,7.32,8.5,38.129999999999995,7.6259999999999994,1
47,5.3,5.62,4.56,4.36,6.18,26.02,5.204,0
48,7.26,7.62,7.26,7.29,7.61,37.04,7.4079999999999995,1
49,7.93,7.83,7.81,8.32,8.68,40.57,8.114,1
50,8.11,8.55,7.3,8.11,9.14,41.21,8.242,1
51,7.26,7.9,7.26,7.71,8.39,38.52,7.704000000000001,1
52,6.59,7.72,6.26,7.61,7.29,35.47,7.093999999999999,1
53,7.89,7.97,7.33,7.46,8.5,39.15,7.83,1
54,7.67,8.0,7.7,8.07,8.68,40.120000000000005,8.024000000000001,0
55,7.85,8.41,7.67,8.71,9.39,42.03,8.406,1
56,7.04,6.38,6.78,7.54,7.39,35.129999999999995,7.025999999999999,1
57,7.26,7.21,6.93,6.86,8.04,36.3,7.26,1
59,8.19,8.48,8.0,8.46,8.89,42.02,8.404,1
60,6.52,6.76,6.52,7.21,7.57,34.58,6.9159999999999995,1
61,7.15,7.24,6.7,7.86,8.29,37.239999999999995,7.447999999999999,0
64,6.63,5.48,6.22,6.57,7.0,31.9,6.38,1
65,7.07,6.79,6.96,6.89,8.64,36.35,7.2700000000000005,1
66,7.33,7.76,7.04,7.18,8.11,37.42,7.484,1
67,7.59,7.28,6.7,7.68,8.18,37.43,7.486,0
68,7.0,7.07,7.04,7.43,8.36,36.9,7.38,0
